req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
FR-QUES-01,functional,Must,An individual with stress shall be able to complete a check in question that asks about their stress when they open the app,Elicitation Interview with Stella,AddCheckInResponse,T-001,acceptance criteria AC-001..003,planned
FR-QUES-02,functional,Should,An individual with stress shall be able to edit a check in question they did that day when selecting edit to change a response about their stressors,Elicitation Interview with Stella & my decision,EditCheckInResponse,T-002,acceptance criteria AC-004..006,planned
FR-QUES-03,functional,Should,An individual with stress shall be able to see how many check ins they completed through a toast when they submit a check in,My Decision,CountOfCompletedCheckIns,T-003,acceptance criteria AC-007..008,planned
FR-OVER-01,functional,Must,An individual with stress shall be able to see how their stress is doing from the results of the check ins in weekly/monthly views when they open up the weekly/monthly views on the overview page,Elicitation Interview with Stella & my decision & The next maintainer,StressWeeklyMonthlyView,T-004,acceptance criteria AC-009..011,planned
FR-OVER-02,functional,Should,An individual with stress shall be able to choose stress relieving based goals either a predetermined one or custom written one for the week and month when they enter in the overview page,Elicitation Interview with Stella & my decision,ExtraGoals,T-005,acceptance criteria AC-012..013,planned
FR-JOU-01,functional,Must,An individual with stress shall be able to add in a journal entry that describes their stress and stressors when a journal entry box is clicked,Elicitation Interview with Stella,AddJournalEntry,T-006,acceptance criteria AC-014..017,planned
FR-JOU-02,functional,Should,An individual with stress shall be able to edit a journal entry they did that day when it is clicked to include more about what is stressing them or to add in things that are stressing them,Elicitation Interview with Stella,EditJournalEntry,T-007,acceptance criteria AC-018..020,planned
FR-JOU-03,functional,Could,An individual with stress shall be able to see the word count when writing a journal entry about their stress,My Decision,TextLengthCountingWarning,T-008,acceptance criteria AC-021..022,planned
FR-ACT-01,functional,Must,An individual with stress shall be able to click/play a destressing activity when they choose one out of one of the sections choices,Elicitation Interview with Stella,DestressingAid,T-009,acceptance criteria AC-023..025,planned
FR-ACT-03,functional,Should,An individual with stress shall be able to click an option to get a random automatic destressing activity option when the pop up appears and that directs the individual to the activity that was randomly chosen when clicked on,My Decision,RandomActivityChooser,T-010,acceptance criteria AC-026..027,planned
FR-AIA-01,functional,Must,An individual with stress shall be able to click from a predetermined prompt to ask AI for a suggestion based explanation of their stress when they open the AI Analysis page,Elicitation Interview with Stella,PromptAIAnalysisStressExplanation,T-011,acceptance criteria AC-028..31,planned
FR-AIA-04,functional,Must,An individual with stress shall be able to click from a predetermined prompt to ask AI for a suggestion for destressing aid when they open the AI Analysis page,Elicitation Interview with Stella,PromptAIAnalysisDestressingAid,T-012,acceptance criteria AC-032..35,planned
NFR-PERF-01,non-functional,Must,Stressed individuals shall be able to get a response from the AI Analysis in a p95 under 25 seconds when there is at least 1 check in and journal entry recorded on an iPhone with throttled "Fast 3G" connection in Expo Go,Ch4 Performance,AIAnalysisService,T-101,Measured with 20 prompts to the AI Analysis and recording the p95 result in `docs/measurements.md` expecting that it is under 25,planned
NFR-REL-01,non-functional,Must,Stressed individuals shall be able to run the app 9 out of 10 times when entering it with 0 unhandled exceptions and errors,Ch4 Reliability,AppEntering,T-102,Measured with 10 opening and closings of the app and the times it succeeded vs failed which expects 9 successes out of the 10,planned
